"Datum";"Salzburg"
"2020-08-28";"0.06969761955822433"
"2020-08-27";"0.06969761955822433"
"2020-08-26";"0.06969761955822433"
"2020-08-25";"0.06969761955822433"
"2020-08-24";"0.06969761955822433"
"2020-08-23";"0.06969761955822433"
"2020-08-22";"0.06969761955822433"
"2020-08-21";"0.06969761955822433"
"2020-08-20";"0.06969761955822433"
"2020-08-19";"0.06969761955822433"
"2020-08-18";"0.06969761955822433"
"2020-08-17";"0.06969761955822433"
"2020-08-16";"0.06969761955822433"
"2020-08-15";"0.06969761955822433"
"2020-08-14";"0.06969761955822433"
"2020-08-13";"0.06969761955822433"
"2020-08-12";"0.06969761955822433"
"2020-08-11";"0.06791050110801343"
"2020-08-10";"0.06791050110801343"
"2020-08-09";"0.06791050110801343"
"2020-08-08";"0.06791050110801343"
"2020-08-07";"0.06791050110801343"
"2020-08-06";"0.06612338265780256"
"2020-08-05";"0.06612338265780256"
"2020-08-04";"0.06612338265780256"
"2020-08-03";"0.06612338265780256"
"2020-08-02";"0.06612338265780256"
"2020-08-01";"0.06612338265780256"
"2020-07-31";"0.06612338265780256"
"2020-07-30";"0.06612338265780256"
"2020-07-29";"0.06612338265780256"
"2020-07-28";"0.06612338265780256"
"2020-07-27";"0.06612338265780256"
"2020-07-26";"0.06612338265780256"
"2020-07-25";"0.06612338265780256"
"2020-07-24";"0.06612338265780256"
"2020-07-23";"0.06612338265780256"
"2020-07-22";"0.06612338265780256"
"2020-07-21";"0.06612338265780256"
"2020-07-20";"0.06791050110801343"
"2020-07-19";"0.06791050110801343"
"2020-07-18";"0.06791050110801343"
"2020-07-17";"0.06791050110801343"
"2020-07-16";"0.06791050110801343"
"2020-07-15";"0.06791050110801343"
"2020-07-14";"0.06791050110801343"
"2020-07-13";"0.06791050110801343"
"2020-07-12";"0.06791050110801343"
"2020-07-11";"0.06791050110801343"
"2020-07-10";"0.06791050110801343"
"2020-07-09";"0.06791050110801343"
"2020-07-08";"0.06791050110801343"
"2020-07-07";"0.06791050110801343"
"2020-07-06";"0.06791050110801343"
"2020-07-05";"0.06791050110801343"
"2020-07-04";"0.06791050110801343"
"2020-07-03";"0.06791050110801343"
"2020-07-02";"0.06791050110801343"
"2020-07-01";"0.06791050110801343"
"2020-06-30";"0.06791050110801343"
"2020-06-29";"0.06791050110801343"
"2020-06-28";"0.06791050110801343"
"2020-06-27";"0.06791050110801343"
"2020-06-26";"0.06791050110801343"
"2020-06-25";"0.06791050110801343"
"2020-06-24";"0.06791050110801343"
"2020-06-23";"0.06791050110801343"
"2020-06-22";"0.06791050110801343"
"2020-06-21";"0.06791050110801343"
"2020-06-20";"0.06791050110801343"
"2020-06-19";"0.06791050110801343"
"2020-06-18";"0.06791050110801343"
"2020-06-17";"0.06791050110801343"
"2020-06-16";"0.06791050110801343"
"2020-06-15";"0.06791050110801343"
"2020-06-14";"0.06791050110801343"
"2020-06-13";"0.06791050110801343"
"2020-06-12";"0.06791050110801343"
"2020-06-11";"0.06791050110801343"
"2020-06-10";"0.06791050110801343"
"2020-06-09";"0.06791050110801343"
"2020-06-08";"0.06791050110801343"
"2020-06-07";"0.06791050110801343"
"2020-06-06";"0.06791050110801343"
"2020-06-05";"0.06791050110801343"
"2020-06-04";"0.06791050110801343"
"2020-06-03";"0.06791050110801343"
"2020-06-02";"0.06791050110801343"
"2020-06-01";"0.06791050110801343"
"2020-05-31";"0.06791050110801343"
"2020-05-30";"0.06791050110801343"
"2020-05-29";"0.06791050110801343"
"2020-05-28";"0.06791050110801343"
"2020-05-27";"0.06791050110801343"
"2020-05-26";"0.06791050110801343"
"2020-05-25";"0.06791050110801343"
"2020-05-24";"0.06791050110801343"
"2020-05-23";"0.06791050110801343"
"2020-05-22";"0.06791050110801343"
"2020-05-21";"0.06791050110801343"
"2020-05-20";"0.06791050110801343"
"2020-05-19";"0.06612338265780256"
"2020-05-18";"0.06612338265780256"
"2020-05-17";"0.06612338265780256"
"2020-05-16";"0.06612338265780256"
"2020-05-15";"0.06612338265780256"
"2020-05-14";"0.06612338265780256"
"2020-05-13";"0.06612338265780256"
"2020-05-12";"0.06612338265780256"
"2020-05-11";"0.06612338265780256"
"2020-05-10";"0.06433626420759168"
"2020-05-09";"0.06433626420759168"
"2020-05-08";"0.06433626420759168"
"2020-05-07";"0.06433626420759168"
"2020-05-06";"0.06433626420759168"
"2020-05-05";"0.06433626420759168"
"2020-05-04";"0.06433626420759168"
"2020-05-03";"0.06433626420759168"
"2020-05-02";"0.06433626420759168"
"2020-05-01";"0.06433626420759168"
"2020-04-30";"0.0625491457573808"
"2020-04-29";"0.0625491457573808"
"2020-04-28";"0.06076202730716992"
"2020-04-27";"0.05897490885695904"
"2020-04-26";"0.05897490885695904"
"2020-04-25";"0.05897490885695904"
"2020-04-24";"0.05897490885695904"
"2020-04-23";"0.05897490885695904"
"2020-04-22";"0.05897490885695904"
"2020-04-21";"0.0536135535063264"
"2020-04-20";"0.0536135535063264"
"2020-04-19";"0.05182643505611552"
"2020-04-18";"0.05182643505611552"
"2020-04-17";"0.04825219815569375"
"2020-04-16";"0.04825219815569375"
"2020-04-15";"0.04646507970548288"
"2020-04-14";"0.04646507970548288"
"2020-04-13";"0.04289084280506112"
"2020-04-12";"0.04289084280506112"
"2020-04-11";"0.04110372435485024"
"2020-04-10";"0.0357423690042176"
"2020-04-09";"0.0357423690042176"
"2020-04-08";"0.02859389520337408"
"2020-04-07";"0.0268067767531632"
"2020-04-06";"0.02501965830295232"
"2020-04-05";"0.02501965830295232"
"2020-04-04";"0.02144542140253056"
"2020-04-03";"0.02144542140253056"
"2020-04-02";"0.01965830295231968"
"2020-04-01";"0.01608406605189792"
"2020-03-31";"0.01608406605189792"
"2020-03-30";"0.01250982915147616"
"2020-03-29";"0.00714847380084352"
"2020-03-28";"0.00714847380084352"
"2020-03-27";"0.00178711845021088"
"2020-03-26";"0.00178711845021088"
"2020-03-25";"0.0"
"2020-03-24";"0.0"
"2020-03-23";"0.0"
"2020-03-22";"0.0"
"2020-03-21";"0.0"
"2020-03-20";"0.0"
"2020-03-19";"0.0"
"2020-03-18";"0.0"
"2020-03-17";"0.0"
"2020-03-16";"0.0"
"2020-03-15";"0.0"
"2020-03-14";"0.0"
"2020-03-13";"0.0"
"2020-03-12";"0.0"
"2020-03-11";"0.0"
"2020-03-10";"0.0"
"2020-03-09";"0.0"
"2020-03-08";"0.0"
"2020-03-07";"0.0"
"2020-03-06";"0.0"
"2020-03-05";"0.0"
"2020-03-04";"0.0"
"2020-03-03";"0.0"
"2020-03-02";"0.0"
"2020-03-01";"0.0"
"2020-02-29";"0.0"
"2020-02-28";"0.0"
"2020-02-27";"0.0"
"2020-02-26";"0.0"
"2020-02-25";"0.0"
